School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,Charter,667,Rocketship Nashville Northeast Elementary,8050,37207,,,66,89,78,73,88,,,,,,,,,1,,265,102,,26,210,184,287,53,67,36.2136492726,-86.7654223968,"(36.2136492726, -86.7654223968)"
17-18,Elementary School,105,Amqui Elementary,10,37115,3,28,91,90,92,102,97,,,,,,,,,,3,222,192,1,85,267,236,310,59,139,36.2737658523,-86.7038315283,"(36.2737658523, -86.7038315283)"
17-18,Elementary School,265,Dupont Elementary,180,37138,,37,76,63,75,58,81,,,,,,,,,1,7,99,35,,248,186,204,196,49,18,36.2613820968,-86.652625791,"(36.2613820968, -86.652625791)"
17-18,Elementary School,790,John B. Whitsitt Elementary,390,37210,,39,79,79,73,76,90,,,,,,,,,4,14,61,301,,56,205,231,246,47,222,36.1150448454,-86.7356845538,"(36.1150448454, -86.7356845538)"
17-18,Charter,712,Strive Collegiate Academy,8090,37214,,,,,,,,84,75,87,,,,,,1,8,97,51,,89,132,114,78,32,46,36.1788359554,-86.6432213808,"(36.1788359554, -86.6432213808)"
17-18,Elementary School,552,Henry C Maxwell Elementary,318,37013,5,47,103,129,114,123,128,,,,,,,,,2,43,137,286,,180,356,293,271,70,272,36.0308340173,-86.673952123,"(36.0308340173, -86.673952123)"
17-18,Middle School,730,Two Rivers Middle,650,37214,,,,,,,,109,97,106,110,,,,,2,12,192,90,,126,202,220,228,55,88,36.194467241,-86.6739737732,"(36.194467241, -86.6739737732)"
17-18,Elementary School,650,Percy Priest Elementary,570,37215,,1,112,99,109,95,117,,,,,,,,,2,25,20,21,2,463,258,275,9,26,8,36.0615871471,-86.8336952185,"(36.0615871471, -86.8336952185)"
17-18,Middle School,675,Rose Park Middle,595,37203,,,,,,,,120,119,101,91,,,,,,9,239,36,3,144,235,196,85,23,46,36.1424058913,-86.7813145165,"(36.1424058913, -86.7813145165)"
17-18,Elementary School,590,Napier Elementary,510,37210,14,64,51,49,58,43,55,,,,,,,,,1,,302,24,,7,178,156,306,52,16,36.1500211684,-86.7563991118,"(36.1500211684, -86.7563991118)"
17-18,High School,325,Glencliff High School,245,37211,,,,,,,,,,,,276,345,288,324,,78,273,629,,253,651,582,605,142,469,36.1014006831,-86.7274692859,"(36.1014006831, -86.7274692859)"
17-18,Non-Traditional,748,Metro Nashville Virtual School,3,37209,,,,,,,,,8,26,137,24,61,151,141,2,42,181,61,,262,233,315,143,32,30,36.1501214104,-86.8453830588,"(36.1501214104, -86.8453830588)"
17-18,Charter,517,Liberty Collegiate Academy,8005,37216,,,,,,,,125,106,102,112,,,,,,3,169,226,,47,211,234,217,51,162,36.2120626994,-86.7329249332,"(36.2120626994, -86.7329249332)"
17-18,Elementary School,240,Cumberland Elementary,150,37218,3,2,61,53,71,76,92,,,,,,,,,1,1,287,33,,36,182,176,266,49,15,36.2120690993,-86.866568623,"(36.2120690993, -86.866568623)"
17-18,High School,182,Cane Ridge High School,77,37013,,,,,,,,,,,,487,434,437,450,1,149,733,591,3,331,961,847,693,188,440,36.0302884296,-86.621230214,"(36.0302884296, -86.621230214)"
17-18,Elementary School,576,Mt. View Elementary,493,37013,9,52,120,130,156,105,135,,,,,,,,,1,31,263,190,2,220,351,356,265,87,246,36.0418590581,-86.6045976768,"(36.0418590581, -86.6045976768)"
17-18,Elementary School,500,Robert E. Lillard Elementary,420,37218,2,,58,51,58,71,77,,,,,,,,,,,298,4,,15,157,160,222,47,3,36.2205723388,-86.8269077667,"(36.2205723388, -86.8269077667)"
17-18,Elementary School,686,Smith Springs Elementary School,750,37013,16,66,102,109,102,119,117,,,,,,,,,,7,259,165,2,198,318,313,240,100,132,36.0823638291,-86.5954847785,"(36.0823638291, -86.5954847785)"
17-18,Elementary School,225,Cole Elementary,130,37013,1,83,150,144,127,135,161,,,,,,,,,,83,95,486,,137,405,396,475,85,420,36.0583352576,-86.6986202084,"(36.0583352576, -86.6986202084)"
17-18,Charter,511,Knowledge Academies High School,8065,37013,,,,,,,,,,,,107,96,89,,2,5,125,110,,50,162,130,91,40,53,36.0452120214,-86.6518729615,"(36.0452120214, -86.6518729615)"
17-18,Elementary School,681,Ross Early Learning Center,7015,37206,17,207,,,,,,,,,,,,,,1,5,100,10,1,107,127,97,71,41,,36.1798601253,-86.7545481099,"(36.1798601253, -86.7545481099)"
17-18,Elementary School,725,Tusculum Elementary,645,37211,5,66,147,141,147,120,151,,,,,,,,,1,105,129,427,1,114,411,366,482,64,497,36.0622421154,-86.7189946606,"(36.0622421154, -86.7189946606)"
17-18,Elementary School,620,Park Avenue Elementary,545,37209,2,40,61,75,71,85,80,,,,,,,,,1,,382,21,,10,215,199,316,62,13,36.1510157044,-86.8296779019,"(36.1510157044, -86.8296779019)"
17-18,Charter,507,LEAD Prep Southeast,8013,37211,,,,,,,,119,122,149,134,87,,,,1,29,137,257,,187,305,306,268,50,308,36.0923357845,-86.7036708627,"(36.0923357845, -86.7036708627)"
17-18,Elementary School,455,Inglewood Elementary,360,37216,1,33,40,45,35,35,35,,,,,,,,,,2,177,20,,25,117,107,150,24,14,36.1978312773,-86.7238406355,"(36.1978312773, -86.7238406355)"
17-18,Elementary School,350,Goodlettsville Elementary,270,37072,3,28,60,65,58,68,66,,,,,,,,,2,11,137,69,5,124,169,179,146,45,42,36.3129393439,-86.7104870774,"(36.3129393439, -86.7104870774)"
17-18,Elementary School,310,J.E. Moss Elementary,370,37013,6,69,186,139,147,139,157,,,,,,,,,3,58,153,531,,98,425,418,444,90,432,36.0673533812,-86.6697465788,"(36.0673533812, -86.6697465788)"
17-18,Middle School,783,Creswell Middle Prep School of the Arts,700,37218,,,,,,,,103,93,105,94,,,,,3,1,344,8,,39,143,252,183,50,5,36.1960632171,-86.8375393872,"(36.1960632171, -86.8375393872)"
17-18,Elementary School,710,Stratton Elementary,625,37115,,21,86,98,94,113,106,,,,,,,,,,4,194,235,,85,251,267,310,52,194,36.2656026682,-86.7176823287,"(36.2656026682, -86.7176823287)"
17-18,High School,450,Hume-Fogg High,355,37203,,,,,,,,,,,,222,220,224,217,6,87,221,60,1,508,366,517,70,27,5,36.1595246071,-86.781536017,"(36.1595246071, -86.781536017)"
17-18,Elementary School,419,Cambridge Early Learning Center,7005,37013,,158,,,,,,,,,,,,,,,3,70,36,,49,74,84,70,9,,36.0603500916,-86.641017433,"(36.0603500916, -86.641017433)"
17-18,Elementary School,370,Granbery Elementary,290,37027,2,2,148,136,161,137,148,,,,,,,,,5,84,101,115,2,427,379,355,139,80,123,36.0467903017,-86.753046003,"(36.0467903017, -86.753046003)"
17-18,Elementary School,252,Dodson Elementary,165,37076,4,34,84,86,72,87,84,,,,,,,,,1,12,240,78,,120,219,232,261,74,66,36.1909084815,-86.6033179312,"(36.1909084815, -86.6033179312)"
17-18,Middle School,535,Moses McKissack Middle,35,37209,,,,,,,,83,80,83,86,,,,,,,290,24,1,17,164,168,275,73,22,36.1598989391,-86.8319415791,"(36.1598989391, -86.8319415791)"
17-18,High School,632,Pearl-Cohn High,555,37208,,,,,,,,,,,,170,174,152,150,1,,611,19,,15,340,306,461,149,18,36.1645403992,-86.815136164,"(36.1645403992, -86.815136164)"
17-18,Elementary School,715,Sylvan Park Elementary,630,37209,2,,101,95,73,87,95,,,,,,,,,,12,159,21,3,258,242,211,85,84,9,36.1442237082,-86.8445950436,"(36.1442237082, -86.8445950436)"
17-18,Elementary School,415,Hermitage Elementary,320,37076,3,32,57,60,52,55,66,,,,,,,,,1,6,93,65,1,159,160,165,116,69,34,36.1979902099,-86.6353701384,"(36.1979902099, -86.6353701384)"
17-18,Elementary School,200,Chadwell Elementary,105,37115,3,18,55,56,67,74,58,,,,,,,,,,6,196,81,,48,170,161,202,43,47,36.25637022,-86.7416710943,"(36.25637022, -86.7416710943)"
17-18,Elementary School,682,May Werthan Shayne Elementary School,608,37211,11,19,122,165,125,173,140,,,,,,,,,1,78,217,57,6,396,393,362,250,102,178,36.0210311721,-86.7146311916,"(36.0210311721, -86.7146311916)"
17-18,Elementary School,496,A. Z. Kelley Elementary,1,37013,2,41,151,163,173,142,153,,,,,,,,,,88,292,228,3,214,405,420,285,95,284,36.0218171181,-86.6588477794,"(36.0218171181, -86.6588477794)"
17-18,Elementary School,575,Thomas A. Edison Elementary,208,37013,6,30,146,143,127,142,153,,,,,,,,,,21,284,187,2,253,409,338,329,63,272,36.0628845281,-86.6046383659,"(36.0628845281, -86.6046383659)"
17-18,Charter,305,Explore Community School,8060,37206,,,77,74,71,,,,,,,,,,,1,1,102,10,1,107,104,118,90,33,5,36.1743641454,-86.7516488877,"(36.1743641454, -86.7516488877)"
17-18,Alternative Learning Center,117,Transitions at Bass,725,37209,,,,,,,,,,,,2,5,12,1,,,19,,,1,17,3,14,6,,36.1549780692,-86.8520459267,"(36.1549780692, -86.8520459267)"
17-18,Middle School,577,Apollo Middle,25,37013,,,,,,,,226,225,181,206,,,,,1,35,263,381,,158,443,395,429,112,369,36.0668779764,-86.6640697109,"(36.0668779764, -86.6640697109)"
17-18,High School,242,Nashville School Of The Arts,512,37210,,,,,,,,,,,,140,150,128,133,1,17,206,44,1,282,164,387,89,45,3,36.1329133192,-86.7405001865,"(36.1329133192, -86.7405001865)"
17-18,Middle School,612,William Henry Oliver Middle,538,37211,,,,,,,,247,239,227,206,,,,,,83,274,152,4,406,474,445,275,90,211,36.0201739757,-86.7122071016,"(36.0201739757, -86.7122071016)"
17-18,Non-Traditional - Hybrid,480,Johnson Alternative Learning Center,740,37210,,,,,,,,6,19,26,27,19,38,18,7,,,115,32,,13,120,40,123,45,21,36.1453908839,-86.7640144621,"(36.1453908839, -86.7640144621)"
17-18,Middle School,111,Antioch Middle,23,37013,,,,,,,,233,197,168,168,,,,,,65,243,332,1,125,388,378,393,100,354,36.0553789673,-86.6718298856,"(36.0553789673, -86.6718298856)"
17-18,Charter,501,KIPP Nashville College Prep Elementary,8085,37207,,,58,67,,,,,,,,,,,,2,,112,9,,2,71,54,81,15,5,36.2382525836,-86.8036646566,"(36.2382525836, -86.8036646566)"
17-18,Charter,506,Knowledge Academy,8012,37013,,,,,,,,74,77,72,69,,,,,,2,104,138,,48,138,154,113,41,127,36.0454015353,-86.6519937155,"(36.0454015353, -86.6519937155)"
17-18,Charter,594,Nashville Prep,8008,37209,,,,,,,,115,98,93,80,,,,,1,7,230,115,,33,202,184,215,58,94,36.1623058663,-86.8553317868,"(36.1623058663, -86.8553317868)"
17-18,Charter,744,Valor Voyager Academy,8080,37211,,,,,,,,120,126,122,109,,,,,,29,83,108,1,256,243,234,173,66,133,36.0706506329,-86.7250511979,"(36.0706506329, -86.7250511979)"
17-18,Elementary School,280,Eakin Elementary,195,37212,2,2,106,124,116,111,114,,,,,,,,,,63,239,26,1,246,277,298,117,92,45,36.1351431922,-86.8076066846,"(36.1351431922, -86.8076066846)"
17-18,Charter,601,Neelys Bend College Prep,6000,37115,,,,,,,,118,115,132,73,,,,,,5,180,188,,65,226,212,217,10,134,36.2419079199,-86.674230711,"(36.2419079199, -86.674230711)"
17-18,Non-Traditional,211,The Academy at Old Cockrill,614,37209,,,,,,,,,,,,,,,89,,2,53,11,,23,52,37,49,13,4,36.1547218751,-86.8455535663,"(36.1547218751, -86.8455535663)"
17-18,Non-Traditional,422,The Academy at Hickory Hollow,720,37013,,,,,,,,,,,,,,,105,,1,33,52,1,18,42,63,42,5,21,36.0503997998,-86.6548197259,"(36.0503997998, -86.6548197259)"
17-18,Adult,114,W. A. Bass Adult Program,125,37209,,,,,,,,,,,,48,33,71,113,1,19,137,67,,41,131,134,132,44,117,36.1540731279,-86.8518765886,"(36.1540731279, -86.8518765886)"
17-18,Elementary School,451,Hull-Jackson Elementary,350,37208,72,76,71,53,65,55,55,,,,,,,,,5,13,391,10,,28,210,237,226,28,9,36.1903186918,-86.8071782328,"(36.1903186918, -86.8071782328)"
17-18,Charter,605,New Vision Academy,8004,37217,,,,,,,,60,58,48,34,,,,,1,5,98,87,,9,88,112,117,10,101,36.1259158996,-86.7256586233,"(36.1259158996, -86.7256586233)"
17-18,Elementary School,186,Casa Azafran Early Learning Center,7020,37211,11,77,,,,,,,,,,,,,,1,5,16,32,,34,44,44,15,12,,36.1265171601,-86.7533987496,"(36.1265171601, -86.7533987496)"
17-18,Non-Traditional - Hybrid,718,The Cohn Learning Center,745,37209,,,,,,,,,,,,11,33,62,1,,1,84,15,,7,62,45,74,30,6,36.1507089234,-86.8451990752,"(36.1507089234, -86.8451990752)"
17-18,Middle School,540,McMurray Middle,480,37211,,,,,,,,212,215,196,182,,,,,1,112,140,461,,91,418,387,492,71,557,36.0563796098,-86.7236924979,"(36.0563796098, -86.7236924979)"
17-18,Middle School,563,John Trotwood Moore Middle,490,37204,,,,,,,,201,194,142,152,,,,,,29,194,43,,423,348,341,162,95,35,36.0957722119,-86.801995019,"(36.0957722119, -86.801995019)"
17-18,Charter,502,KIPP Academy Nashville,8002,37207,,,,,,,,101,96,91,74,,,,,,3,205,142,,12,180,182,212,39,102,36.1945359149,-86.7694392501,"(36.1945359149, -86.7694392501)"
17-18,High School,787,Whites Creek High School,704,37189,,,,,,,,,,,,159,181,174,158,,4,554,36,1,77,343,329,364,140,27,36.2766453173,-86.8188329872,"(36.2766453173, -86.8188329872)"
17-18,Charter,503,KIPP Nashville College Prep,8042,37207,,,,,,,,95,88,91,70,,,,,2,4,284,45,,9,183,161,182,58,37,36.2375074649,-86.8037065355,"(36.2375074649, -86.8037065355)"
17-18,Charter,118,Brick Church College Prep,118,37207,,,,,,,,80,63,79,77,,,,,2,,245,31,,21,160,139,211,2,40,36.2207385771,-86.7817524484,"(36.2207385771, -86.7817524484)"
17-18,Elementary School,685,Shwab Elementary,610,37207,9,42,47,50,52,54,50,,,,,,,,,,,102,166,,36,178,126,186,46,118,36.1999066318,-86.7707922912,"(36.1999066318, -86.7707922912)"
17-18,High School,615,John Overton High,395,37220,,,,,,,,,,,,513,531,507,435,4,234,415,685,3,645,1094,892,852,180,650,36.0797992685,-86.7689945134,"(36.0797992685, -86.7689945134)"
17-18,Elementary School,235,Crieve Hall Elementary,145,37220,10,6,92,94,103,77,83,,,,,,,,,2,60,42,116,1,244,237,228,99,51,121,36.0657457496,-86.7581030533,"(36.0657457496, -86.7581030533)"
17-18,Charter,660,RePublic High School,8100,37207,,,,,,,,,,,,186,154,137,,,3,290,145,1,38,223,254,202,68,47,36.2420998862,-86.7793092615,"(36.2420998862, -86.7793092615)"
17-18,Charter,589,Nashville Academy of Computer Science,8055,37207,,,,,,,,111,97,77,91,,,,,1,,266,60,,49,249,127,228,65,35,36.2349642714,-86.78246535,"(36.2349642714, -86.78246535)"
17-18,Elementary School,755,Warner Elementary,675,37206,4,35,48,43,37,47,87,,,,,,,,,,3,271,8,2,17,154,147,274,32,30,36.1720753383,-86.7600969964,"(36.1720753383, -86.7600969964)"
17-18,High School,290,East Nashville School,203,37206,,,,,,,,,,,,204,195,159,163,,6,656,18,,41,323,398,277,56,5,36.1806264426,-86.7504713705,"(36.1806264426, -86.7504713705)"
17-18,Non-Traditional,613,The Academy at Opry Mills,612,37214,,,,,,,,,,,,,,3,59,,,20,15,,27,33,29,23,9,5,36.2027005721,-86.6920792353,"(36.2027005721, -86.6920792353)"
17-18,Charter,286,East End Preparatory School,8009,37216,,,104,109,108,112,109,107,90,,,,,,,1,5,557,107,,69,352,387,385,66,49,36.2069950352,-86.7182717708,"(36.2069950352, -86.7182717708)"
17-18,Charter,668,Rocketship United,8070,37217,,,111,111,121,91,98,,,,,,,,,1,1,249,214,,67,269,263,309,47,257,36.1304768556,-86.7248661795,"(36.1304768556, -86.7248661795)"
17-18,Elementary School,185,Carter-Lawrence Elementary,670,37203,,18,38,58,57,59,62,,,,,,,,,,2,230,27,1,32,148,144,160,36,40,36.1436534419,-86.7858534926,"(36.1436534419, -86.7858534926)"
17-18,Elementary School,520,Lockeland Elementary,435,37206,,,60,59,60,60,63,,,,,,,,,1,3,22,7,1,268,160,142,11,29,3,36.1762250805,-86.7395204948,"(36.1762250805, -86.7395204948)"
17-18,Elementary School,335,Glengarry Elementary,255,37217,1,20,58,80,80,80,87,,,,,,,,,,3,61,267,1,74,212,194,255,46,250,36.1103898927,-86.7064250194,"(36.1103898927, -86.7064250194)"
17-18,Elementary School,184,Cane Ridge Elementary,82,37013,5,2,214,188,208,199,203,,,,,,,,,7,32,499,254,3,224,522,497,456,80,372,36.0397196657,-86.6181506279,"(36.0397196657, -86.6181506279)"
17-18,Elementary School,784,Robert Churchwell Elementary,618,37208,,18,56,53,63,54,71,,,,,,,,,1,,307,4,,3,167,148,266,38,15,36.1753538423,-86.8094236992,"(36.1753538423, -86.8094236992)"
17-18,Elementary School,485,Jones Elementary,387,37208,,,47,57,58,64,71,,,,,,,,,,,292,3,,2,150,147,141,33,,36.181153731,-86.8013978855,"(36.181153731, -86.8013978855)"
